repositorio,status_final,tempo_analise_horas,tamanho_arquivos,tamanho_linhas_adicionadas,tamanho_linhas_removidas,descricao_caracteres,interacoes_participantes,interacoes_comentarios,numero_revisoes
freeCodeCamp/freeCodeCamp,MERGED,11.84,1,8,8,286,3,1,8
freeCodeCamp/freeCodeCamp,MERGED,2.39,1,52,4,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.06,1,31,7,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.32,1,13,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.35,1,9,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.38,1,14,2,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.4,1,9,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.42,1,5,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.13,1,9,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.21,1,17,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,4.95,1,19,3,286,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,2.4,1,9,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.44,1,11,3,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.46,1,33,8,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.71,1,10,4,296,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,6.86,1,101,1,286,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,7.9,1,8,2,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.39,1,1,1,286,3,1,2
freeCodeCamp/freeCodeCamp,MERGED,12.21,1,16,40,286,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,1.92,1,29,4,286,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,1.17,1,31,2,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.36,1,42,13,296,4,1,2
freeCodeCamp/freeCodeCamp,MERGED,2.38,1,8,4,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.4,1,34,10,286,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,9.0,2,25,5,395,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.9,1,76,11,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,9.95,1,1,1,393,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.06,1,26,15,286,3,1,1
freeCodeCamp/freeCodeCamp,MERGED,1.75,1,1,1,326,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.43,1,51,7,286,3,0,1
freeCodeCamp/freeCodeCamp,MERGED,4.07,1,47,11,286,3,0,1
freeCodeCamp/freeCodeCamp,MERGED,2.0,2,8,6,578,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,25.75,5,336,286,415,3,0,2
freeCodeCamp/freeCodeCamp,CLOSED,32.41,582,28551,5028,1186,29,7,1
freeCodeCamp/freeCodeCamp,MERGED,10.78,5,5,5,488,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,11.53,12,28,26,286,3,0,4
freeCodeCamp/freeCodeCamp,CLOSED,19.33,5,70,62,270,4,3,4
freeCodeCamp/freeCodeCamp,MERGED,19.69,30,520,18,501,3,1,2
freeCodeCamp/freeCodeCamp,MERGED,11.63,5,18,18,286,4,0,2
freeCodeCamp/freeCodeCamp,MERGED,35.45,1,3,42,505,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,4.32,20,300,20,45,3,0,2
freeCodeCamp/freeCodeCamp,CLOSED,3.47,3,5,5,424,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,34.14,1,46,46,499,3,1,3
